Objet						Début	Journéeentière	Afficherladisponibilité	Catégories	Priorité	Privé
Ste Angèle Julien						27/01/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Paule Pauline Mélanie						26/01/2013	VRAI	3	Ephemeride	Normale	FAUX
Conversion St Paul						25/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St François de Sales - Soizic						24/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Barnard						23/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Vincent Laura						22/01/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Agnès						21/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Sébastien Fabien						20/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Marius						19/01/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Prisca Faustine						18/01/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Roseline						17/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Marcel						16/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Rémi Rachel						15/01/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Nina						14/01/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Yvette						13/01/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Tatiana						12/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Paulin						11/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Guillaume						10/01/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Alice Alix Pauline						09/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Lucien						08/01/2013	VRAI	3	Ephemeride	Normale	FAUX
